Name,Plots,Visibles
experiment2/person_001_L1,"[(210, 279), (247, 392)]","[(215, 279), (253, 377)]"
experiment2/person_001_R1,"[(378, 256), (363, 336)]","[(376, 258), (362, 332)]"
experiment2/person_002_L1,[],"[(200, 202), (248, 250)]"
experiment2/person_002_R1,"[(244, 203), (316, 247)]","[(244, 202), (315, 250)]"
experiment2/person_003_L1,"[(342, 192), (309, 310)]","[(338, 195), (307, 308)]"
experiment2/person_004_R1,"[(285, 231), (337, 328)]","[(277, 232), (329, 320)]"
experiment2/person_005_L1,[],"[(200, 197), (247, 248)]"
experiment2/person_005_R1,[],"[(203, 198), (252, 246)]"
experiment2/person_006_L1,[],"[(204, 199), (241, 250)]"
experiment2/person_006_R1,[],"[(256, 214), (304, 241)]"
experiment2/person_007_L1,"[(260, 221), (268, 275)]","[(264, 225), (265, 277)]"
experiment2/person_007_R1,"[(358, 233), (389, 284)]","[(351, 234), (375, 280)]"
experiment2/person_008_L1,"[(305, 152), (286, 238)]","[(288, 162), (279, 242)]"
experiment2/person_008_R1,"[(361, 219), (352, 286)]","[(358, 215), (350, 283)]"
experiment2/person_009_L1,"[(174, 265), (211, 306)]","[(177, 264), (213, 304)]"
experiment2/person_009_R1,"[(261, 272), (206, 329)]","[(255, 274), (200, 332)]"
experiment2/person_010_L1,[],[]
experiment2/person_010_R1,[],"[(189, 213), (251, 258)]"
experiment2/person_011_L1,"[(217, 267), (210, 316)]","[(210, 267), (214, 316)]"
experiment2/person_011_R1,"[(371, 227), (389, 285)]","[(363, 226), (381, 280)]"
experiment2/person_012_L1,"[(256, 238), (222, 295)]","[(237, 240), (208, 298)]"
experiment2/person_012_R1,[],"[(185, 217), (243, 258)]"
experiment2/person_013_R1,"[(239, 314), (247, 403)]","[(240, 312), (250, 394)]"
experiment2/person_014_L1,"[(244, 199), (222, 244)]","[(245, 206), (229, 252)]"
